Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","740 (178)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3,g,149
"proteina, total",37,g,149
agua (humedad),58,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.1,g,149
"ácidos grasos, poliinsaturados totales",0.64,g,149
ácidos grasos saturados totales,0.78,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,75,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,7.0017,ug,61
Vitamina D,0.2,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,149
"folato, total",8,ug,149
"equivalentes de niacina, totales",7,mg,149
riboflavina,0.15,mg,180
tiamina,0.3,mg,149
Vitamina B-12,0.8,ug,180
"Vitamina B-6, Total",0.8,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,15,mg,149
"hierro, total",20,mg,149
potasio,400,mg,149
magnesio,35,mg,149
sodio,100,mg,149
fósforo,400,mg,149
ioduro,2,ug,38
"selenio, total",16,ug,38
zinc (cinc),0.7,mg,180
