Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1379 (331)
							",kJ (kcal),236
"grasa, total (lipidos totales)",13,g,258
"proteina, total",14.8,g,258
agua (humedad),11.24,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",20,g,61
carbohidratos,38,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.695,g,30
"ácidos grasos, poliinsaturados totales",7.766,g,30
ácidos grasos saturados totales,2.14,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,6042,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,9,mg,61
"folato, total",0,ug,32
"equivalentes de niacina, totales",18.4,mg,258
riboflavina,1.74,mg,258
tiamina,0.65,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",2.141,mg,30
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,180,mg,258
"hierro, total",23.6,mg,258
potasio,2340,mg,258
magnesio,190,mg,258
sodio,34,mg,258
fósforo,350,mg,258
ioduro,-,-,-
"selenio, total",4,ug,258
zinc (cinc),4.1,mg,258
