Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2511 (603)
							",kJ (kcal),236
"grasa, total (lipidos totales)",47.33,g,310
"proteina, total",30.23,g,30
agua (humedad),5.23,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",6,g,30
carbohidratos,10.71,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",12.11,g,310
"ácidos grasos, poliinsaturados totales",20.69,g,310
ácidos grasos saturados totales,8.84,g,310
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.09,g,310
ácido graso 16:0 (ácido palmítico),5.74,g,310
ácido graso 18:0 (ácido esteárico),2.82,g,310
ácido graso 18:1 n-9 cis (ácido oléico),12.1,g,310
colesterol,0,mg,30
ácido graso 18:2,20.65,g,310
ácido graso 18:3,0.13,g,310
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.4,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.18,mg,30
"folato, total",0,ug,30
"equivalentes de niacina, totales",11.4,mg,280
riboflavina,0.153,mg,30
tiamina,0.273,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.143,mg,30
Vitamina C (ácido ascórbico),1.9,mg,30
Minerales,,,
calcio,46,mg,30
"hierro, total",8.82,mg,30
potasio,809,mg,30
magnesio,592,mg,30
sodio,7,mg,30
fósforo,1233,mg,30
ioduro,traza,ug,30
"selenio, total",9.4,ug,30
zinc (cinc),7.81,mg,30
