Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2475 (594)
							",kJ (kcal),236
"grasa, total (lipidos totales)",49.2,g,310
"proteina, total",17.6,g,258
agua (humedad),8.6,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",6.5,g,258
carbohidratos,15.7,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",26.35,g,310
"ácidos grasos, poliinsaturados totales",15.63,g,310
ácidos grasos saturados totales,6.21,g,310
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.04,g,310
ácido graso 16:0 (ácido palmítico),4.88,g,310
ácido graso 18:0 (ácido esteárico),0.5,g,310
ácido graso 18:1 n-9 cis (ácido oléico),27.19,g,310
colesterol,0,mg,258
ácido graso 18:2,15.37,g,310
ácido graso 18:3,0.24,g,310
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,25,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,5.2,mg,258
"folato, total",58,ug,32
"equivalentes de niacina, totales",1.45,mg,258
riboflavina,0.2,mg,258
tiamina,0.69,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",1.27,mg,280
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,180,mg,258
"hierro, total",7.2,mg,258
potasio,811,mg,258
magnesio,122,mg,258
sodio,16,mg,258
fósforo,390,mg,258
ioduro,traza,ug,280
"selenio, total",3,ug,258
zinc (cinc),2.8,mg,258
