Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","879 (211)
							",kJ (kcal),236
"grasa, total (lipidos totales)",9.8,g,61
"proteina, total",8.2,g,61
agua (humedad),56,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",1.7,g,61
carbohidratos,22.2,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.21,g,61
"ácidos grasos, poliinsaturados totales",1.99,g,61
ácidos grasos saturados totales,4.12,g,61
ácido graso 12:0 (láurico),0.1764,g,322
ácido graso 14:0 (ácido mirístico),0.5096,g,322
ácido graso 16:0 (ácido palmítico),2.421,g,322
ácido graso 18:0 (ácido esteárico),1.029,g,322
ácido graso 18:1 n-9 cis (ácido oléico),2.901,g,322
colesterol,16,mg,61
ácido graso 18:2,2.009,g,322
ácido graso 18:3,0.0392,g,322
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,90,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.54,mg,61
"folato, total",24,ug,61
"equivalentes de niacina, totales",1.4,mg,61
riboflavina,0.23,mg,61
tiamina,0.25,mg,61
Vitamina B-12,0.3,ug,61
"Vitamina B-6, Total",0.11,mg,61
Vitamina C (ácido ascórbico),3,mg,61
Minerales,,,
calcio,118,mg,61
"hierro, total",1.3,mg,61
potasio,201,mg,61
magnesio,19,mg,61
sodio,520,mg,61
fósforo,179,mg,61
ioduro,7.1,ug,38
"selenio, total",4.6,ug,38
zinc (cinc),0.9,mg,61
