Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","345 (83)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.23,g,179
"proteina, total",17.6075,g,179
agua (humedad),81.2,g,150
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.126,g,297
"ácidos grasos, monoinsaturados totales",0.1334,g,179
"ácidos grasos, poliinsaturados totales",0.4346,g,179
ácidos grasos saturados totales,0.2883,g,179
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.003,g,297
ácido graso 16:0 (ácido palmítico),0.081,g,297
ácido graso 18:0 (ácido esteárico),0.048,g,297
ácido graso 18:1 n-9 cis (ácido oléico),0.039,g,297
colesterol,48,mg,150
ácido graso 18:2,0.003,g,297
ácido graso 18:3,0.001,g,297
ácido graso 20:4 n-6  (ácido araquidónico),0.005,g,297
ácido graso 20:5 (ácido eicosapentaenóico),0.037,g,297
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,150
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.36,mg,150
"folato, total",11,ug,150
"equivalentes de niacina, totales",6.3,mg,7
riboflavina,0.21,mg,150
tiamina,0.14,mg,150
Vitamina B-12,1,ug,150
"Vitamina B-6, Total",0.25,mg,150
Vitamina C (ácido ascórbico),traza,mg,150
Minerales,,,
calcio,27,mg,150
"hierro, total",0.4,mg,150
potasio,300,mg,150
magnesio,23,mg,150
sodio,92,mg,150
fósforo,190,mg,150
ioduro,28,ug,29
"selenio, total",36,ug,29
zinc (cinc),0.5,mg,150
