Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","739 (177)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5,g,178
"proteina, total",32.6,g,178
agua (humedad),62.3,g,178
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.86,g,178
"ácidos grasos, poliinsaturados totales",0.8,g,178
ácidos grasos saturados totales,1.42,g,178
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,91.3,mg,178
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,7,ug,61
Vitamina D,0.2,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.2,mg,149
"folato, total",8,ug,149
"equivalentes de niacina, totales",7.7,mg,149
riboflavina,0.17,mg,149
tiamina,0.07,mg,149
Vitamina B-12,0.3,ug,149
"Vitamina B-6, Total",0.44,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,12,mg,149
"hierro, total",1.3,mg,149
potasio,300,mg,149
magnesio,24,mg,149
sodio,80,mg,149
fósforo,200,mg,149
ioduro,6,ug,280
"selenio, total",24,ug,280
zinc (cinc),0.9,mg,180
