Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","844 (202)
							",kJ (kcal),236
"grasa, total (lipidos totales)",14.61,g,281
"proteina, total",17.08,g,281
agua (humedad),67.55,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",0.02,g,281
carbohidratos,0.74,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.49,g,281
"ácidos grasos, poliinsaturados totales",1.64,g,281
ácidos grasos saturados totales,2.67,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,93.11,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,43.3,ug,280
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.72,mg,281
"folato, total",13.08,ug,280
"equivalentes de niacina, totales",7.26,mg,281
riboflavina,0.51,mg,281
tiamina,0.1,mg,281
Vitamina B-12,8.13,ug,281
"Vitamina B-6, Total",0.35,mg,281
Vitamina C (ácido ascórbico),3.88,mg,281
Minerales,,,
calcio,10.97,mg,281
"hierro, total",2.25,mg,281
potasio,31.89,mg,281
magnesio,18.6,mg,281
sodio,10.42,mg,281
fósforo,36.58,mg,281
ioduro,5.53,ug,281
"selenio, total",0,ug,281
zinc (cinc),1.09,mg,281
