Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","694 (166)
							",kJ (kcal),236
"grasa, total (lipidos totales)",9.6,g,38
"proteina, total",19.9,g,38
agua (humedad),70.5,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.004,g,326
"ácidos grasos, monoinsaturados totales",3.146,g,38
"ácidos grasos, poliinsaturados totales",2.3695,g,38
ácidos grasos saturados totales,2.609,g,38
ácido graso 12:0 (láurico),0.009,g,326
ácido graso 14:0 (ácido mirístico),0.099,g,326
ácido graso 16:0 (ácido palmítico),2.448,g,326
ácido graso 18:0 (ácido esteárico),0.648,g,326
ácido graso 18:1 n-9 cis (ácido oléico),3.932,g,326
colesterol,99,mg,38
ácido graso 18:2,1.94,g,326
ácido graso 18:3,0.3,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.043,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.004,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,39,ug,38
Vitamina D,0.1,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.66,mg,38
"folato, total",12,ug,38
"equivalentes de niacina, totales",11.7,mg,38
riboflavina,0.16,mg,38
tiamina,0.083,mg,38
Vitamina B-12,0.4,ug,38
"Vitamina B-6, Total",0.5,mg,38
Vitamina C (ácido ascórbico),2.5,mg,38
Minerales,,,
calcio,13,mg,38
"hierro, total",0.73,mg,38
potasio,262,mg,38
magnesio,19,mg,38
sodio,83,mg,38
fósforo,165,mg,38
ioduro,6.9,ug,38
"selenio, total",10,ug,38
zinc (cinc),0.996,mg,38
