Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","368 (88)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.5,g,38
"proteina, total",16.2,g,38
agua (humedad),81.3,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.64,g,38
"ácidos grasos, poliinsaturados totales",0.34,g,38
ácidos grasos saturados totales,0.86,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,242,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,14,ug,38
Vitamina D,11,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,-,-,-
"folato, total",11,ug,38
"equivalentes de niacina, totales",6.47,mg,38
riboflavina,0.23,mg,38
tiamina,0.047,mg,38
Vitamina B-12,3.81,ug,38
"Vitamina B-6, Total",0.04,mg,38
Vitamina C (ácido ascórbico),38.5,mg,38
Minerales,,,
calcio,10,mg,38
"hierro, total",7.95,mg,38
potasio,340,mg,38
magnesio,14,mg,38
sodio,198,mg,38
fósforo,224,mg,38
ioduro,-,-,-
"selenio, total",44.3,ug,38
zinc (cinc),1.61,mg,38
