Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","395 (95)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.375,g,61
"proteina, total",2.2,g,149
agua (humedad),78,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",1.7,g,149
carbohidratos,13.7,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.67,g,149
"ácidos grasos, poliinsaturados totales",0.13,g,149
ácidos grasos saturados totales,1.9,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,11,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,27.6667,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.12,mg,149
"folato, total",15,ug,149
"equivalentes de niacina, totales",0.7,mg,149
riboflavina,0.04,mg,149
tiamina,0.09,mg,149
Vitamina B-12,traza,ug,149
"Vitamina B-6, Total",0.23,mg,149
Vitamina C (ácido ascórbico),6,mg,149
Minerales,,,
calcio,31,mg,149
"hierro, total",0.4,mg,149
potasio,280,mg,149
magnesio,16,mg,149
sodio,150,mg,149
fósforo,48,mg,149
ioduro,2.6,ug,38
"selenio, total",26.3,ug,38
zinc (cinc),0.1648,mg,180
