Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","836 (201)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11.2381,g,61
"proteina, total",24.7,g,149
agua (humedad),59.7,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,traza,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.3,g,149
"ácidos grasos, poliinsaturados totales",0.32,g,149
ácidos grasos saturados totales,7,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,30,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,266.667,ug,61
Vitamina D,0.17,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.3,mg,149
"folato, total",66,ug,149
"equivalentes de niacina, totales",1.2,mg,149
riboflavina,0.67,mg,149
tiamina,0.05,mg,149
Vitamina B-12,1.1,ug,280
"Vitamina B-6, Total",0.28,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,315,mg,149
"hierro, total",0.2,mg,149
potasio,136,mg,149
magnesio,24,mg,149
sodio,891,mg,149
fósforo,286,mg,149
ioduro,13.8,ug,327
"selenio, total",8.5,ug,327
zinc (cinc),1.4,mg,61
