Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1485 (356)
							",kJ (kcal),236
"grasa, total (lipidos totales)",28.3598,g,61
"proteina, total",25.6,g,149
agua (humedad),42.9,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,traza,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.9,g,149
"ácidos grasos, poliinsaturados totales",1.5,g,149
ácidos grasos saturados totales,17.4,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,90,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,216.667,ug,61
Vitamina D,0.2,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.5,mg,149
"folato, total",51,ug,149
"equivalentes de niacina, totales",0.1,mg,61
riboflavina,0.2,mg,149
tiamina,0.02,mg,149
Vitamina B-12,1.5,ug,149
"Vitamina B-6, Total",0.07,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,550,mg,149
"hierro, total",0.2,mg,149
potasio,112,mg,149
magnesio,14,mg,149
sodio,760,mg,149
fósforo,450,mg,149
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),2.3,mg,180
