Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1846 (443)
							",kJ (kcal),236
"grasa, total (lipidos totales)",37.88,g,42
"proteina, total",26.15,g,42
agua (humedad),30.13,g,42
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,traza,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9.63,g,61
"ácidos grasos, poliinsaturados totales",1.22,g,61
ácidos grasos saturados totales,20.58,g,61
ácido graso 12:0 (láurico),0.849,g,326
ácido graso 14:0 (ácido mirístico),2.998,g,326
ácido graso 16:0 (ácido palmítico),7.971,g,326
ácido graso 18:0 (ácido esteárico),3.434,g,326
ácido graso 18:1 n-9 cis (ácido oléico),5.677,g,326
colesterol,90,mg,61
ácido graso 18:2,0.439,g,326
ácido graso 18:3,0.16,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.02,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.009,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,340,ug,61
Vitamina D,0.25,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.62,mg,61
"folato, total",20,ug,61
"equivalentes de niacina, totales",0.1,mg,61
riboflavina,0.3,mg,61
tiamina,0.03,mg,61
Vitamina B-12,1.5,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,954.69,mg,42
"hierro, total",0.3,mg,42
potasio,123.29,mg,42
magnesio,35.58,mg,42
sodio,552,mg,42
fósforo,594.25,mg,42
ioduro,2,ug,38
"selenio, total",1.6,ug,38
zinc (cinc),3.34,mg,42
