Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1462 (351)
							",kJ (kcal),236
"grasa, total (lipidos totales)",29.8,g,38
"proteina, total",21.13,g,38
agua (humedad),43.65,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,traza,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.24,g,38
"ácidos grasos, poliinsaturados totales",0.768,g,38
ácidos grasos saturados totales,17.55,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,88,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,290,ug,38
Vitamina D,0.23,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.77,mg,38
"folato, total",40,ug,38
"equivalentes de niacina, totales",3.517,mg,38
riboflavina,0.5,mg,38
tiamina,0.043,mg,38
Vitamina B-12,0.59,ug,38
"Vitamina B-6, Total",0.18,mg,38
Vitamina C (ácido ascórbico),traza,mg,38
Minerales,,,
calcio,526,mg,38
"hierro, total",0.18,mg,38
potasio,128,mg,38
magnesio,39,mg,38
sodio,787,mg,38
fósforo,362,mg,38
ioduro,9,ug,38
"selenio, total",2,ug,38
zinc (cinc),4.1,mg,38
