Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1241 (298)
							",kJ (kcal),236
"grasa, total (lipidos totales)",23.9333,g,179
"proteina, total",19.8,g,179
agua (humedad),50.2333,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,1.1,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",6.2197,g,181
"ácidos grasos, poliinsaturados totales",0.8142,g,181
ácidos grasos saturados totales,15.3569,g,181
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,60.7,mg,280
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,65,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.05,mg,61
"folato, total",5,ug,61
"equivalentes de niacina, totales",0.26,mg,61
riboflavina,0.24,mg,149
tiamina,0.04,mg,149
Vitamina B-12,0.78,ug,61
"Vitamina B-6, Total",0.09,mg,61
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,543,mg,181
"hierro, total",0.398,mg,181
potasio,90,mg,181
magnesio,88,mg,181
sodio,480,mg,181
fósforo,818,mg,181
ioduro,2,ug,38
"selenio, total",2.8,ug,38
zinc (cinc),2.034,mg,181
