Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","402 (96)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.1,g,7
"proteina, total",8.1,g,7
agua (humedad),76.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.23,g,7
carbohidratos,15.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2.4,ug,7
Vitamina D,traza,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,61
"folato, total",5.7,ug,7
"equivalentes de niacina, totales",0.15,mg,61
riboflavina,traza,mg,7
tiamina,0.04,mg,61
Vitamina B-12,0.18,ug,7
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,93,mg,7
"hierro, total",0.4,mg,61
potasio,113,mg,7
magnesio,12,mg,61
sodio,32,mg,7
fósforo,77,mg,7
ioduro,2,ug,38
"selenio, total",2.8,ug,38
zinc (cinc),0.5,mg,61
