Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1500 (360)
							",kJ (kcal),236
"grasa, total (lipidos totales)",28.75,g,42
"proteina, total",25.66,g,42
agua (humedad),38.4,g,42
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,traza,g,236
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5.24,g,61
"ácidos grasos, poliinsaturados totales",0.82,g,61
ácidos grasos saturados totales,16.94,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,80,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,290.833,ug,61
Vitamina D,0.25,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.62,mg,61
"folato, total",50,ug,61
"equivalentes de niacina, totales",0.1,mg,61
riboflavina,0.3,mg,61
tiamina,0.03,mg,61
Vitamina B-12,1.5,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,779.53,mg,42
"hierro, total",0.35,mg,42
potasio,114.2,mg,42
magnesio,44.17,mg,42
sodio,800.19,mg,42
fósforo,574.55,mg,42
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),3.04,mg,42
