Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1076 (258)
							",kJ (kcal),236
"grasa, total (lipidos totales)",24.3,g,7
"proteina, total",7.3,g,7
agua (humedad),65.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,3.1,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",6.6,g,32
"ácidos grasos, poliinsaturados totales",0.7,g,32
ácidos grasos saturados totales,14.3,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,3.1,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,163.2,ug,7
Vitamina D,1.2,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.24,mg,32
"folato, total",2.8,ug,7
"equivalentes de niacina, totales",1,mg,280
riboflavina,0.29,mg,7
tiamina,0.06,mg,280
Vitamina B-12,0.6,ug,7
"Vitamina B-6, Total",0.07,mg,333
Vitamina C (ácido ascórbico),3.8,mg,280
Minerales,,,
calcio,84,mg,7
"hierro, total",0.1,mg,7
potasio,89,mg,7
magnesio,7,mg,7
sodio,32,mg,7
fósforo,59,mg,7
ioduro,40.4,ug,280
"selenio, total",2.7,ug,280
zinc (cinc),0.2,mg,7
