Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1411 (339)
							",kJ (kcal),236
"grasa, total (lipidos totales)",27,g,42
"proteina, total",24.24,g,42
agua (humedad),42.28,g,42
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,traza,g,236
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",-,-,-
"ácidos grasos, poliinsaturados totales",-,-,-
ácidos grasos saturados totales,-,-,-
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,90,mg,310
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,374,ug,310
Vitamina D,0.25,ug,310
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.62,mg,310
"folato, total",20.65,ug,310
"equivalentes de niacina, totales",5.1,mg,310
riboflavina,0.3,mg,310
tiamina,0.04,mg,310
Vitamina B-12,1.5,ug,310
"Vitamina B-6, Total",0.1,mg,310
Vitamina C (ácido ascórbico),0,mg,310
Minerales,,,
calcio,933.94,mg,42
"hierro, total",1.45,mg,42
potasio,129.59,mg,42
magnesio,55.48,mg,42
sodio,596.26,mg,42
fósforo,612.87,mg,42
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),2.63,mg,42
