Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,7
"energía, total","1626 (390)
							",kJ (kcal),236
"grasa, total (lipidos totales)",30.4,g,7
"proteina, total",29,g,7
agua (humedad),38,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,0.5,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9,g,7
"ácidos grasos, poliinsaturados totales",0.72,g,7
ácidos grasos saturados totales,18.9,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,87.8,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,360,ug,7
Vitamina D,0.28,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.62,mg,7
"folato, total",21.3,ug,7
"equivalentes de niacina, totales",6.7,mg,7
riboflavina,0.3,mg,7
tiamina,0.04,mg,7
Vitamina B-12,1.5,ug,7
"Vitamina B-6, Total",0.8,mg,7
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,765,mg,7
"hierro, total",0.64,mg,7
potasio,100,mg,38
magnesio,36,mg,7
sodio,670,mg,38
fósforo,520,mg,38
ioduro,34.1,ug,7
"selenio, total",1.6,ug,38
zinc (cinc),4,mg,7
