Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","396 (95)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.6,g,149
"proteina, total",22,g,149
agua (humedad),75.8,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.1,g,149
"ácidos grasos, poliinsaturados totales",0.2,g,149
ácidos grasos saturados totales,0.1,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,29,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.4,mg,180
"folato, total",8,ug,61
"equivalentes de niacina, totales",2,mg,180
riboflavina,0.08,mg,149
tiamina,0.04,mg,149
Vitamina B-12,1.04,ug,61
"Vitamina B-6, Total",0.3,mg,180
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,12,mg,149
"hierro, total",0.5,mg,149
potasio,388,mg,149
magnesio,30,mg,149
sodio,88,mg,149
fósforo,480,mg,149
ioduro,-,-,-
"selenio, total",36.5,ug,32
zinc (cinc),0.6,mg,61
