Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","293 (70)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.6,g,61
"proteina, total",15.9,g,61
agua (humedad),82.8,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,61
carbohidratos,traza,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.084,g,297
"ácidos grasos, monoinsaturados totales",0.12,g,61
"ácidos grasos, poliinsaturados totales",0.16,g,61
ácidos grasos saturados totales,0.13,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.016,g,297
ácido graso 16:0 (ácido palmítico),0.109,g,297
ácido graso 18:0 (ácido esteárico),0.03,g,297
ácido graso 18:1 n-9 cis (ácido oléico),0.033,g,297
colesterol,17,mg,61
ácido graso 18:2,0.005,g,297
ácido graso 18:3,0.001,g,297
ácido graso 20:4 n-6  (ácido araquidónico),0.02,g,297
ácido graso 20:5 (ácido eicosapentaenóico),0.022,g,297
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.85,mg,61
"folato, total",7,ug,61
"equivalentes de niacina, totales",1.5,mg,61
riboflavina,0.06,mg,61
tiamina,0.03,mg,61
Vitamina B-12,0.9,ug,61
"Vitamina B-6, Total",0.2,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,8,mg,61
"hierro, total",0.3,mg,61
potasio,284,mg,61
magnesio,21,mg,61
sodio,41,mg,61
fósforo,330,mg,61
ioduro,-,-,-
"selenio, total",36.5,ug,32
zinc (cinc),0.5,mg,61
