Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","410 (98)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.26,g,38
"proteina, total",20.56,g,38
agua (humedad),77.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0.8,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.22,g,293
"ácidos grasos, monoinsaturados totales",0.286,g,38
"ácidos grasos, poliinsaturados totales",0.532,g,38
ácidos grasos saturados totales,0.286,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,65,mg,38
ácido graso 18:2,0.003,g,293
ácido graso 18:3,0.001,g,293
ácido graso 20:4 n-6  (ácido araquidónico),0.133,g,293
ácido graso 20:5 (ácido eicosapentaenóico),0.031,g,293
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,38
"folato, total",3,ug,38
"equivalentes de niacina, totales",5.85,mg,38
riboflavina,0.01,mg,38
tiamina,0.02,mg,38
Vitamina B-12,6,ug,38
"Vitamina B-6, Total",0.37,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,38,mg,38
"hierro, total",0.75,mg,38
potasio,250,mg,38
magnesio,30,mg,38
sodio,90,mg,38
fósforo,155,mg,38
ioduro,3,ug,38
"selenio, total",36.5,ug,38
zinc (cinc),0.98,mg,38
