Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2 (0)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,32
"proteina, total",0.1,g,32
agua (humedad),91.18,g,282
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,32
carbohidratos,0,g,282
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,32
"ácidos grasos, poliinsaturados totales",traza,g,32
ácidos grasos saturados totales,traza,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,32
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,280
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,280
"folato, total",traza,ug,32
"equivalentes de niacina, totales",0.1,mg,32
riboflavina,0.01,mg,32
tiamina,traza,mg,32
Vitamina B-12,0,ug,32
"Vitamina B-6, Total",traza,mg,32
Vitamina C (ácido ascórbico),0,mg,32
Minerales,,,
calcio,3,mg,282
"hierro, total",traza,mg,32
potasio,19,mg,282
magnesio,1,mg,282
sodio,21,mg,282
fósforo,36,mg,282
ioduro,traza,ug,32
"selenio, total",traza,ug,32
zinc (cinc),0.06,mg,282
