Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","193 (46)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,61
"proteina, total",traza,g,149
agua (humedad),88.664,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,11.3361,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,149
"folato, total",traza,ug,149
"equivalentes de niacina, totales",traza,mg,149
riboflavina,0.02,mg,149
tiamina,traza,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",traza,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,3.3587,mg,179
"hierro, total",0.04,mg,179
potasio,4.3731,mg,179
magnesio,5.6431,mg,179
sodio,4.2418,mg,179
fósforo,0.5,mg,179
ioduro,0,ug,38
"selenio, total",0,ug,38
zinc (cinc),traza,mg,157
