Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","161 (39)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,149
"proteina, total",0.1,g,149
agua (humedad),89.1,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,9.365,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,149
"ácidos grasos, poliinsaturados totales",traza,g,149
ácidos grasos saturados totales,traza,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2.5,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.04,mg,149
"folato, total",4,ug,149
"equivalentes de niacina, totales",traza,mg,149
riboflavina,traza,mg,149
tiamina,0.02,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",traza,mg,149
Vitamina C (ácido ascórbico),6,mg,149
Minerales,,,
calcio,13,mg,149
"hierro, total",0.1,mg,149
potasio,40,mg,149
magnesio,4,mg,149
sodio,1,mg,149
fósforo,4,mg,149
ioduro,0,ug,38
"selenio, total",0,ug,38
zinc (cinc),traza,mg,155
