Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","123 (30)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,258
"proteina, total",1.2,g,258
agua (humedad),90.5,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",2.5,g,258
carbohidratos,5.6,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,258
"ácidos grasos, poliinsaturados totales",0.1,g,258
ácidos grasos saturados totales,traza,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,258
"folato, total",2,ug,32
"equivalentes de niacina, totales",0.3,mg,258
riboflavina,0.03,mg,258
tiamina,0.02,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.04,mg,258
Vitamina C (ácido ascórbico),2.8,mg,30
Minerales,,,
calcio,19,mg,258
"hierro, total",0.5,mg,258
potasio,190,mg,258
magnesio,13,mg,258
sodio,120,mg,258
fósforo,17,mg,258
ioduro,0.1,ug,38
"selenio, total",traza,ug,258
zinc (cinc),0.3,mg,258
