Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,30
"energía, total","1046 (251)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11.94,g,30
"proteina, total",8.28,g,30
agua (humedad),50.6,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",2.6,g,30
carbohidratos,27.29,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.036,g,30
"ácidos grasos, poliinsaturados totales",5.601,g,30
ácidos grasos saturados totales,2.116,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,16,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1.2,ug,32
Vitamina D,0,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.02,mg,32
"folato, total",8,ug,32
"equivalentes de niacina, totales",2.725,mg,30
riboflavina,0.077,mg,30
tiamina,0.165,mg,30
Vitamina B-12,0.44,ug,30
"Vitamina B-6, Total",0.167,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,40,mg,30
"hierro, total",1.41,mg,30
potasio,165,mg,30
magnesio,18,mg,30
sodio,468,mg,30
fósforo,85,mg,30
ioduro,2.7,ug,32
"selenio, total",0,ug,30
zinc (cinc),0.62,mg,30
