Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1459 (350)
							",kJ (kcal),236
"grasa, total (lipidos totales)",13.2,g,38
"proteina, total",7.8,g,38
agua (humedad),27,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",2.7,g,38
carbohidratos,49.3,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.9,g,38
"ácidos grasos, poliinsaturados totales",0.8,g,38
ácidos grasos saturados totales,7.9,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,41,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,76,ug,38
Vitamina D,0.42,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.67,mg,38
"folato, total",39,ug,38
"equivalentes de niacina, totales",3.18,mg,38
riboflavina,0.16,mg,38
tiamina,0.2,mg,38
Vitamina B-12,0.24,ug,38
"Vitamina B-6, Total",0.12,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,93,mg,38
"hierro, total",2.72,mg,38
potasio,90,mg,38
magnesio,11,mg,38
sodio,281,mg,38
fósforo,150,mg,38
ioduro,15,ug,38
"selenio, total",9.1,ug,38
zinc (cinc),0.3,mg,38
