Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","228 (55)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,180
"proteina, total",2,g,180
agua (humedad),86.8,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",0.6,g,61
carbohidratos,11,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,180
"ácidos grasos, poliinsaturados totales",0.085,g,180
ácidos grasos saturados totales,traza,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,61
"folato, total",9,ug,180
"equivalentes de niacina, totales",0.42,mg,180
riboflavina,0.011,mg,180
tiamina,0.03,mg,180
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.02,mg,180
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,3.14,mg,180
"hierro, total",0.17,mg,180
potasio,30,mg,180
magnesio,6.3,mg,180
sodio,3,mg,180
fósforo,22.5,mg,180
ioduro,5,ug,280
"selenio, total",7.7,ug,280
zinc (cinc),0.5,mg,180
