Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1142 (274)
							",kJ (kcal),236
"grasa, total (lipidos totales)",25.2,g,30
"proteina, total",10.3,g,30
agua (humedad),62.5,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,2,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",12.5,g,30
"ácidos grasos, poliinsaturados totales",1.7,g,30
ácidos grasos saturados totales,9.3,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,52,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0.2,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.22,mg,30
"folato, total",4,ug,30
"equivalentes de niacina, totales",1.61,mg,30
riboflavina,0.11,mg,30
tiamina,0.34,mg,280
Vitamina B-12,1.02,ug,30
"Vitamina B-6, Total",0.12,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,10,mg,30
"hierro, total",0.88,mg,30
potasio,101,mg,30
magnesio,7,mg,30
sodio,953,mg,30
fósforo,49,mg,30
ioduro,5.5,ug,280
"selenio, total",16.9,ug,30
zinc (cinc),1.6,mg,30
