Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","432 (104)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.95,g,297
"proteina, total",12.7,g,7
agua (humedad),77.2,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,7.9,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.066,g,297
"ácidos grasos, monoinsaturados totales",0.16,g,297
"ácidos grasos, poliinsaturados totales",0.27,g,297
ácidos grasos saturados totales,0.45,g,297
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.039,g,297
ácido graso 16:0 (ácido palmítico),0.25,g,297
ácido graso 18:0 (ácido esteárico),0.072,g,297
ácido graso 18:1 n-9 cis (ácido oléico),0.111,g,297
colesterol,67,mg,280
ácido graso 18:2,0.016,g,297
ácido graso 18:3,0.001,g,297
ácido graso 20:4 n-6  (ácido araquidónico),0.088,g,297
ácido graso 20:5 (ácido eicosapentaenóico),0.087,g,297
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2.2,ug,280
Vitamina D,14,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.6,mg,280
"folato, total",6,ug,280
"equivalentes de niacina, totales",7.8,mg,280
riboflavina,0.07,mg,280
tiamina,0.07,mg,280
Vitamina B-12,2,ug,280
"Vitamina B-6, Total",0.45,mg,280
Vitamina C (ácido ascórbico),0,mg,280
Minerales,,,
calcio,694,mg,7
"hierro, total",0.4,mg,280
potasio,280,mg,7
magnesio,26,mg,280
sodio,177,mg,7
fósforo,-,-,-
ioduro,7,ug,280
"selenio, total",28,ug,280
zinc (cinc),0.5,mg,280
