Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","754 (181)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.7,g,7
"proteina, total",25.4,g,38
agua (humedad),67.68,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.39,g,7
"ácidos grasos, poliinsaturados totales",1.44,g,38
ácidos grasos saturados totales,1.36,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,35,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,15,ug,38
Vitamina D,19,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.7,mg,38
"folato, total",2,ug,38
"equivalentes de niacina, totales",13.7,mg,38
riboflavina,0.17,mg,38
tiamina,0.16,mg,38
Vitamina B-12,3,ug,38
"Vitamina B-6, Total",0.28,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,19,mg,38
"hierro, total",0.6,mg,38
potasio,420,mg,38
magnesio,32,mg,38
sodio,1880,mg,38
fósforo,250,mg,38
ioduro,28,ug,38
"selenio, total",32.4,ug,38
zinc (cinc),0.4,mg,38
