Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","377 (90)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.7,g,258
"proteina, total",14.1,g,258
agua (humedad),82.2,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.45,g,298
"ácidos grasos, monoinsaturados totales",0.84,g,258
"ácidos grasos, poliinsaturados totales",0.62,g,258
ácidos grasos saturados totales,1.07,g,258
ácido graso 12:0 (láurico),0.006,g,298
ácido graso 14:0 (ácido mirístico),0.215,g,298
ácido graso 16:0 (ácido palmítico),1.668,g,298
ácido graso 18:0 (ácido esteárico),0.378,g,298
ácido graso 18:1 n-9 cis (ácido oléico),1.705,g,298
colesterol,49,mg,258
ácido graso 18:2,0.115,g,298
ácido graso 18:3,0.034,g,298
ácido graso 20:4 n-6  (ácido araquidónico),0,g,298
ácido graso 20:5 (ácido eicosapentaenóico),0.459,g,298
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,0.8,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.51,mg,258
"folato, total",11,ug,32
"equivalentes de niacina, totales",1.9,mg,258
riboflavina,0.07,mg,258
tiamina,0.05,mg,258
Vitamina B-12,2,ug,258
"Vitamina B-6, Total",0.42,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,30,mg,258
"hierro, total",0.7,mg,258
potasio,340,mg,258
magnesio,25,mg,258
sodio,91,mg,258
fósforo,220,mg,258
ioduro,190,ug,258
"selenio, total",29,ug,258
zinc (cinc),0.5,mg,258
