Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","326 (78)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.3,g,280
"proteina, total",0.7,g,280
agua (humedad),87.9,g,280
Hidratos de Carbono,,,
"fibra, dietetica total",0.3,g,280
carbohidratos,9.1,g,280
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.7,g,280
"ácidos grasos, poliinsaturados totales",0.1,g,280
ácidos grasos saturados totales,1.3,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,18.6,ug,280
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.2,mg,280
"folato, total",6.9,ug,280
"equivalentes de niacina, totales",0.3,mg,38
riboflavina,0.03,mg,38
tiamina,traza,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.02,mg,38
Vitamina C (ácido ascórbico),traza,mg,38
Minerales,,,
calcio,30,mg,38
"hierro, total",1.1,mg,38
potasio,180,mg,38
magnesio,18,mg,38
sodio,980,mg,38
fósforo,31,mg,38
ioduro,1.6,ug,280
"selenio, total",0.2,ug,280
zinc (cinc),0.2,mg,38
