Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","605 (145)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11.1,g,38
"proteina, total",8,g,38
agua (humedad),76.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",1.1,g,38
carbohidratos,3.4,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4.7,g,38
"ácidos grasos, poliinsaturados totales",2.6,g,38
ácidos grasos saturados totales,3.1,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,25,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,212.5,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.93,mg,38
"folato, total",7,ug,38
"equivalentes de niacina, totales",3.2,mg,38
riboflavina,0.11,mg,38
tiamina,0.07,mg,38
Vitamina B-12,0.8,ug,38
"Vitamina B-6, Total",0.16,mg,38
Vitamina C (ácido ascórbico),4,mg,38
Minerales,,,
calcio,23,mg,38
"hierro, total",1.4,mg,38
potasio,310,mg,38
magnesio,14,mg,38
sodio,430,mg,38
fósforo,79,mg,38
ioduro,4,ug,38
"selenio, total",2,ug,38
zinc (cinc),1.7,mg,38
