Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","992 (238)
							",kJ (kcal),236
"grasa, total (lipidos totales)",13.34,g,38
"proteina, total",4.14,g,38
agua (humedad),52.8,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",4.52,g,38
carbohidratos,25.16,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4.2,g,38
"ácidos grasos, poliinsaturados totales",5.584,g,38
ácidos grasos saturados totales,2.484,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,31,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,11.4,ug,38
Vitamina D,0.7,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.67,mg,38
"folato, total",12.02,ug,38
"equivalentes de niacina, totales",4.9,mg,38
riboflavina,0.17,mg,38
tiamina,0.42,mg,38
Vitamina B-12,13.41,ug,38
"Vitamina B-6, Total",0.11,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,31.1,mg,38
"hierro, total",0.97,mg,38
potasio,214.3,mg,38
magnesio,20.8,mg,38
sodio,493.3,mg,38
fósforo,187.3,mg,38
ioduro,21.6,ug,38
"selenio, total",10.2,ug,38
zinc (cinc),0.29,mg,38
