Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),7.9,g,61
"energía, total","297 (71)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,61
"proteina, total",0.2,g,61
agua (humedad),87.6,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,61
carbohidratos,3.8,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1,ug,61
Vitamina D,traza,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.01,mg,61
"folato, total",0,ug,61
"equivalentes de niacina, totales",0.07,mg,61
riboflavina,0.01,mg,61
tiamina,0.01,mg,61
Vitamina B-12,traza,ug,61
"Vitamina B-6, Total",traza,mg,61
Vitamina C (ácido ascórbico),4,mg,61
Minerales,,,
calcio,7,mg,61
"hierro, total",0.5,mg,61
potasio,78,mg,61
magnesio,10,mg,61
sodio,3,mg,61
fósforo,9,mg,61
ioduro,0,ug,32
"selenio, total",0,ug,32
zinc (cinc),0.3,mg,61
