Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","990 (237)
							",kJ (kcal),236
"grasa, total (lipidos totales)",15.75,g,7
"proteina, total",23.93,g,38
agua (humedad),58.88,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.17,g,7
"ácidos grasos, poliinsaturados totales",4.85,g,38
ácidos grasos saturados totales,2.8,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,65,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,49,ug,38
Vitamina D,8.2,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.3,mg,38
"folato, total",8.7,ug,38
"equivalentes de niacina, totales",12.57,mg,38
riboflavina,0.31,mg,38
tiamina,0.04,mg,38
Vitamina B-12,29.6,ug,38
"Vitamina B-6, Total",0.47,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,314,mg,38
"hierro, total",2.9,mg,38
potasio,388,mg,38
magnesio,49.3,mg,38
sodio,366,mg,38
fósforo,430,mg,38
ioduro,33.4,ug,38
"selenio, total",50,ug,38
zinc (cinc),2.8,mg,38
