Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","546 (131)
							",kJ (kcal),236
"grasa, total (lipidos totales)",7.5,g,258
"proteina, total",15,g,258
agua (humedad),76.7,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0.8,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.8,g,258
"ácidos grasos, poliinsaturados totales",2.28,g,258
ácidos grasos saturados totales,2.64,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,100,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,58,ug,258
Vitamina D,7,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.6,mg,258
"folato, total",7,ug,32
"equivalentes de niacina, totales",5.9,mg,258
riboflavina,0.34,mg,258
tiamina,0.11,mg,258
Vitamina B-12,26,ug,258
"Vitamina B-6, Total",0.96,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,30,mg,258
"hierro, total",0.9,mg,258
potasio,260,mg,258
magnesio,26,mg,258
sodio,760,mg,258
fósforo,280,mg,258
ioduro,10,ug,258
"selenio, total",30,ug,258
zinc (cinc),0.4,mg,258
