Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","585 (140)
							",kJ (kcal),236
"grasa, total (lipidos totales)",7.5,g,258
"proteina, total",18.1,g,258
agua (humedad),74.4,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.676,g,295
"ácidos grasos, monoinsaturados totales",1.8,g,258
"ácidos grasos, poliinsaturados totales",2.28,g,258
ácidos grasos saturados totales,2.64,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.143,g,295
ácido graso 16:0 (ácido palmítico),0.54,g,295
ácido graso 18:0 (ácido esteárico),0.192,g,295
ácido graso 18:1 n-9 cis (ácido oléico),0.373,g,295
colesterol,100,mg,258
ácido graso 18:2,0.056,g,295
ácido graso 18:3,0.026,g,295
ácido graso 20:4 n-6  (ácido araquidónico),0.046,g,295
ácido graso 20:5 (ácido eicosapentaenóico),0.254,g,295
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,64,ug,258
Vitamina D,8,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.6,mg,258
"folato, total",8,ug,32
"equivalentes de niacina, totales",6.4,mg,258
riboflavina,0.38,mg,258
tiamina,0.12,mg,258
Vitamina B-12,8.5,ug,258
"Vitamina B-6, Total",0.96,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,43,mg,258
"hierro, total",1.1,mg,258
potasio,24,mg,258
magnesio,29,mg,258
sodio,100,mg,258
fósforo,475,mg,258
ioduro,16,ug,258
"selenio, total",30,ug,258
zinc (cinc),0.5,mg,258
