Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","566 (136)
							",kJ (kcal),236
"grasa, total (lipidos totales)",10.7,g,149
"proteina, total",10,g,149
agua (humedad),78,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.36,g,326
"ácidos grasos, monoinsaturados totales",2.1,g,149
"ácidos grasos, poliinsaturados totales",1.3,g,149
ácidos grasos saturados totales,2.4,g,149
ácido graso 12:0 (láurico),0.003,g,326
ácido graso 14:0 (ácido mirístico),0.015,g,326
ácido graso 16:0 (ácido palmítico),0.86,g,326
ácido graso 18:0 (ácido esteárico),1.117,g,326
ácido graso 18:1 n-9 cis (ácido oléico),1.118,g,326
colesterol,2100,mg,149
ácido graso 18:2,0.036,g,326
ácido graso 18:3,0.048,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.425,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.031,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.2,mg,149
"folato, total",6,ug,149
"equivalentes de niacina, totales",2.1,mg,7
riboflavina,0.25,mg,149
tiamina,0.2,mg,149
Vitamina B-12,8,ug,149
"Vitamina B-6, Total",0.1,mg,149
Vitamina C (ácido ascórbico),18,mg,149
Minerales,,,
calcio,10,mg,149
"hierro, total",2.1,mg,149
potasio,240,mg,149
magnesio,17,mg,149
sodio,125,mg,149
fósforo,320,mg,149
ioduro,-,-,-
"selenio, total",9,ug,30
zinc (cinc),1.4,mg,61
