Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","55 (13)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.49,g,281
"proteina, total",1.76,g,281
agua (humedad),92.6,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",1.7,g,281
carbohidratos,0.39,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,281
"ácidos grasos, poliinsaturados totales",0.3,g,281
ácidos grasos saturados totales,0.1,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,281
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.12,mg,281
"folato, total",28.6,ug,281
"equivalentes de niacina, totales",2.98,mg,281
riboflavina,0.26,mg,281
tiamina,0.07,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.14,mg,281
Vitamina C (ácido ascórbico),0.68,mg,281
Minerales,,,
calcio,5.88,mg,281
"hierro, total",0.59,mg,281
potasio,313.6,mg,281
magnesio,8.82,mg,281
sodio,4.9,mg,281
fósforo,78.4,mg,281
ioduro,2.94,ug,281
"selenio, total",8.82,ug,281
zinc (cinc),0.39,mg,281
