Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","384 (92)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.3,g,296
"proteina, total",17.7,g,7
agua (humedad),78.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,3.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.087,g,296
"ácidos grasos, monoinsaturados totales",-,-,-
"ácidos grasos, poliinsaturados totales",-,-,-
ácidos grasos saturados totales,-,-,-
ácido graso 12:0 (láurico),0.003,g,296
ácido graso 14:0 (ácido mirístico),0.057,g,296
ácido graso 16:0 (ácido palmítico),0.784,g,296
ácido graso 18:0 (ácido esteárico),0.263,g,296
ácido graso 18:1 n-9 cis (ácido oléico),0.818,g,296
colesterol,-,-,-
ácido graso 18:2,0.833,g,296
ácido graso 18:3,0.108,g,296
ácido graso 20:4 n-6  (ácido araquidónico),0.045,g,296
ácido graso 20:5 (ácido eicosapentaenóico),0.044,g,296
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1,ug,7
Vitamina D,-,-,-
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,-,-,-
"folato, total",-,-,-
"equivalentes de niacina, totales",4,mg,7
riboflavina,0.18,mg,7
tiamina,0.08,mg,7
Vitamina B-12,-,-,-
"Vitamina B-6, Total",-,-,-
Vitamina C (ácido ascórbico),1,mg,7
Minerales,,,
calcio,31,mg,7
"hierro, total",0.8,mg,7
potasio,245,mg,7
magnesio,18,mg,7
sodio,80,mg,7
fósforo,156,mg,7
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),-,-,-
