Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","925 (222)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11.4376,g,61
"proteina, total",29.5,g,149
agua (humedad),56.8,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5.1,g,149
"ácidos grasos, poliinsaturados totales",1.4,g,149
ácidos grasos saturados totales,4.4,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,107,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.15,mg,149
"folato, total",10,ug,149
"equivalentes de niacina, totales",7.2,mg,149
riboflavina,0.3,mg,149
tiamina,0.09,mg,149
Vitamina B-12,1.3,ug,149
"Vitamina B-6, Total",0.33,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,12,mg,149
"hierro, total",1.2,mg,149
potasio,378,mg,149
magnesio,23,mg,149
sodio,84,mg,149
fósforo,245,mg,149
ioduro,3,ug,280
"selenio, total",15.1,ug,280
zinc (cinc),2.1,mg,180
