Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1310 (314)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2,g,7
"proteina, total",11.7,g,7
agua (humedad),15,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",10.3,g,7
carbohidratos,61,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.27,g,7
"ácidos grasos, poliinsaturados totales",1.1,g,7
ácidos grasos saturados totales,0.37,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,7
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.4,mg,7
"folato, total",49,ug,7
"equivalentes de niacina, totales",8.2,mg,7
riboflavina,0.14,mg,7
tiamina,0.48,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.45,mg,7
Vitamina C (ácido ascórbico),0,mg,280
Minerales,,,
calcio,43.7,mg,7
"hierro, total",3.3,mg,7
potasio,421,mg,7
magnesio,147,mg,7
sodio,7.8,mg,7
fósforo,344.42,mg,7
ioduro,0.6,ug,7
"selenio, total",9.5,ug,280
zinc (cinc),4.1,mg,7
