Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","378 (91)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3,g,258
"proteina, total",15.7,g,258
agua (humedad),81.3,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.916,g,310
"ácidos grasos, monoinsaturados totales",0.74,g,258
"ácidos grasos, poliinsaturados totales",1.83,g,258
ácidos grasos saturados totales,0.43,g,258
ácido graso 12:0 (láurico),0.004,g,310
ácido graso 14:0 (ácido mirístico),0.45,g,310
ácido graso 16:0 (ácido palmítico),1.19,g,310
ácido graso 18:0 (ácido esteárico),0.27,g,310
ácido graso 18:1 n-9 cis (ácido oléico),1.41,g,310
colesterol,80,mg,258
ácido graso 18:2,0.78,g,310
ácido graso 18:3,0.13,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0.03,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0.311,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,14,ug,258
Vitamina D,2.1,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.5,mg,258
"folato, total",9.4,ug,32
"equivalentes de niacina, totales",5.1,mg,258
riboflavina,0.1,mg,258
tiamina,0.08,mg,258
Vitamina B-12,5.2,ug,258
"Vitamina B-6, Total",0.43,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,26,mg,258
"hierro, total",1,mg,258
potasio,250,mg,258
magnesio,28,mg,258
sodio,58,mg,258
fósforo,208,mg,258
ioduro,3,ug,258
"selenio, total",25,ug,258
zinc (cinc),0.8,mg,258
