Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","348 (84)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.6,g,26
"proteina, total",12.1,g,7
agua (humedad),81.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,4.9,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",-,-,-
"ácidos grasos, poliinsaturados totales",-,-,-
ácidos grasos saturados totales,-,-,-
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,-,-,-
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,-,-,-
Vitamina D,-,-,-
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,-,-,-
"folato, total",-,-,-
"equivalentes de niacina, totales",-,-,-
riboflavina,-,-,-
tiamina,-,-,-
Vitamina B-12,-,-,-
"Vitamina B-6, Total",-,-,-
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,45,mg,150
"hierro, total",-,-,-
potasio,232,mg,7
magnesio,-,-,-
sodio,205,mg,7
fósforo,-,-,-
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),-,-,-
