Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),10.2,g,236
"energía, total","550 (132)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.3,g,7
"proteina, total",0.3,g,7
agua (humedad),69,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,14,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,258
"ácidos grasos, poliinsaturados totales",0,g,258
ácidos grasos saturados totales,0,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,32
Vitamina D,0,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,29
"folato, total",0.1,ug,32
"equivalentes de niacina, totales",0.08,mg,7
riboflavina,0.01,mg,32
tiamina,0,mg,32
Vitamina B-12,traza,ug,29
"Vitamina B-6, Total",0.01,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,4,mg,32
"hierro, total",0.4,mg,32
potasio,97,mg,258
magnesio,11,mg,32
sodio,4,mg,32
fósforo,10,mg,7
ioduro,0,ug,38
"selenio, total",traza,ug,258
zinc (cinc),0.07,mg,38
