Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","295 (71)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,38
"proteina, total",3.8,g,38
agua (humedad),81.8,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",1.1,g,38
carbohidratos,13.1,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.1,g,38
"ácidos grasos, poliinsaturados totales",0,g,38
ácidos grasos saturados totales,0.1,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0.3,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10.7,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,38
"folato, total",16,ug,38
"equivalentes de niacina, totales",0.43,mg,38
riboflavina,0.19,mg,38
tiamina,0.03,mg,38
Vitamina B-12,0.4,ug,38
"Vitamina B-6, Total",0.42,mg,38
Vitamina C (ácido ascórbico),traza,mg,38
Minerales,,,
calcio,105,mg,42
"hierro, total",0.155,mg,42
potasio,117.1,mg,42
magnesio,9.8,mg,42
sodio,35.2,mg,42
fósforo,95,mg,38
ioduro,14.4,ug,38
"selenio, total",1,ug,38
zinc (cinc),0.341,mg,42
