Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","192 (46)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.32,g,258
"proteina, total",4.3,g,258
agua (humedad),89.1,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,6.3,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.15,g,258
"ácidos grasos, poliinsaturados totales",0,g,258
ácidos grasos saturados totales,0.11,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,1,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.8,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,258
"folato, total",4.7,ug,32
"equivalentes de niacina, totales",1.2,mg,258
riboflavina,0.19,mg,258
tiamina,0.04,mg,258
Vitamina B-12,0.4,ug,258
"Vitamina B-6, Total",0.08,mg,258
Vitamina C (ácido ascórbico),1.6,mg,258
Minerales,,,
calcio,140,mg,258
"hierro, total",0.09,mg,258
potasio,187,mg,258
magnesio,13.7,mg,258
sodio,57,mg,258
fósforo,109,mg,258
ioduro,5.3,ug,258
"selenio, total",1,ug,258
zinc (cinc),0.44,mg,258
