Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","265 (64)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.9,g,7
"proteina, total",3.2,g,7
agua (humedad),89,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,280
carbohidratos,3.9,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.7,g,280
"ácidos grasos, poliinsaturados totales",traza,g,280
ácidos grasos saturados totales,2.2,g,280
ácido graso 12:0 (láurico),0.169,g,309
ácido graso 14:0 (ácido mirístico),0.517,g,309
ácido graso 16:0 (ácido palmítico),1.344,g,309
ácido graso 18:0 (ácido esteárico),0.386,g,309
ácido graso 18:1 n-9 cis (ácido oléico),0.797,g,309
colesterol,11.2,mg,280
ácido graso 18:2,0.022,g,309
ácido graso 18:3,0.018,g,309
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,32.1,ug,7
Vitamina D,0.2,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,280
"folato, total",5,ug,7
"equivalentes de niacina, totales",1,mg,280
riboflavina,0.16,mg,7
tiamina,0.04,mg,280
Vitamina B-12,0.3,ug,7
"Vitamina B-6, Total",0.08,mg,7
Vitamina C (ácido ascórbico),1.1,mg,280
Minerales,,,
calcio,131,mg,7
"hierro, total",0.1,mg,7
potasio,158,mg,7
magnesio,12,mg,7
sodio,43,mg,7
fósforo,95,mg,7
ioduro,21,ug,280
"selenio, total",3.2,ug,280
zinc (cinc),0.32,mg,7
