Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","502 (121)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.5,g,7
"proteina, total",2.7,g,7
agua (humedad),73,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.4,g,7
carbohidratos,21.4,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.8,g,7
"ácidos grasos, poliinsaturados totales",0.1,g,7
ácidos grasos saturados totales,1.6,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,6.6,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,27.2,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,7
"folato, total",3,ug,7
"equivalentes de niacina, totales",0.1,mg,7
riboflavina,0.2,mg,280
tiamina,0.02,mg,7
Vitamina B-12,0.14,ug,7
"Vitamina B-6, Total",0.03,mg,7
Vitamina C (ácido ascórbico),5.1,mg,7
Minerales,,,
calcio,107.1,mg,42
"hierro, total",0.048,mg,42
potasio,117.3,mg,42
magnesio,9.3,mg,42
sodio,38.8,mg,42
fósforo,75,mg,7
ioduro,6,ug,7
"selenio, total",0.3,ug,7
zinc (cinc),0.322,mg,42
