Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","365 (88)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.534,g,61
"proteina, total",2.8,g,7
agua (humedad),80.9,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,14.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.45,g,149
"ácidos grasos, poliinsaturados totales",traza,g,149
ácidos grasos saturados totales,1,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,traza,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,16.5,ug,7
Vitamina D,0.1,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,149
"folato, total",4,ug,142
"equivalentes de niacina, totales",0.09,mg,31
riboflavina,0.14,mg,7
tiamina,0.03,mg,149
Vitamina B-12,0.3,ug,7
"Vitamina B-6, Total",0.07,mg,142
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,110,mg,7
"hierro, total",0.1,mg,7
potasio,139,mg,7
magnesio,12,mg,7
sodio,41,mg,7
fósforo,86,mg,7
ioduro,4,ug,280
"selenio, total",1,ug,280
zinc (cinc),0.28,mg,7
