Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","324 (78)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1,g,38
"proteina, total",15.4,g,38
agua (humedad),82.1,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,1.5,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.2,g,38
"ácidos grasos, poliinsaturados totales",0.2,g,38
ácidos grasos saturados totales,0.3,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,34,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,90,ug,38
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.4,mg,38
"folato, total",16,ug,38
"equivalentes de niacina, totales",4.17,mg,38
riboflavina,0.21,mg,38
tiamina,0.03,mg,38
Vitamina B-12,1.41,ug,30
"Vitamina B-6, Total",0.14,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,46,mg,38
"hierro, total",14,mg,38
potasio,314,mg,38
magnesio,51,mg,38
sodio,56,mg,38
fósforo,169,mg,38
ioduro,27,ug,38
"selenio, total",24.3,ug,38
zinc (cinc),1.2,mg,38
