Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","143 (34)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,29
"proteina, total",0.8,g,29
agua (humedad),87.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,29
carbohidratos,7.6,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,280
"ácidos grasos, poliinsaturados totales",traza,g,280
ácidos grasos saturados totales,traza,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,29
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,29
Vitamina D,0,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.54,mg,29
"folato, total",4,ug,29
"equivalentes de niacina, totales",0.03,mg,7
riboflavina,0.03,mg,29
tiamina,0.01,mg,29
Vitamina B-12,0,ug,29
"Vitamina B-6, Total",0.11,mg,29
Vitamina C (ácido ascórbico),37,mg,29
Minerales,,,
calcio,26,mg,29
"hierro, total",5.2,mg,29
potasio,190,mg,29
magnesio,13,mg,29
sodio,traza,mg,29
fósforo,29,mg,29
ioduro,1,ug,280
"selenio, total",0.1,ug,280
zinc (cinc),0.1,mg,29
