Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","231 (55)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,7
"proteina, total",0.6,g,7
agua (humedad),86.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,29
carbohidratos,13,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.009,g,38
"ácidos grasos, poliinsaturados totales",0.028,g,38
ácidos grasos saturados totales,0.005,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1.03,ug,7
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.04,mg,7
"folato, total",1.04,ug,7
"equivalentes de niacina, totales",0.2,mg,38
riboflavina,traza,mg,7
tiamina,0.05,mg,7
Vitamina B-12,0.51,ug,7
"Vitamina B-6, Total",0.04,mg,7
Vitamina C (ácido ascórbico),2.7,mg,7
Minerales,,,
calcio,15.4,mg,7
"hierro, total",0.19,mg,7
potasio,117.2,mg,7
magnesio,12.3,mg,7
sodio,7.3,mg,7
fósforo,25.6,mg,7
ioduro,traza,ug,38
"selenio, total",0.1,ug,38
zinc (cinc),0.2,mg,7
