Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","192 (46)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.1,g,61
"proteina, total",0.4,g,61
agua (humedad),86.2,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0.1,g,61
carbohidratos,10.7,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.03,mg,61
"folato, total",10,ug,61
"equivalentes de niacina, totales",0.25,mg,61
riboflavina,0.02,mg,61
tiamina,0.05,mg,61
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),9,mg,61
Minerales,,,
calcio,13,mg,61
"hierro, total",0.2,mg,61
potasio,112,mg,61
magnesio,12,mg,61
sodio,2,mg,61
fósforo,6,mg,61
ioduro,traza,ug,38
"selenio, total",0.1,ug,38
zinc (cinc),0.1,mg,61
