Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","158 (38)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,61
"proteina, total",0.5,g,149
agua (humedad),89,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,149
carbohidratos,8.8,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,149
"ácidos grasos, poliinsaturados totales",traza,g,149
ácidos grasos saturados totales,traza,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.6667,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.08,mg,149
"folato, total",7,ug,149
"equivalentes de niacina, totales",0.23,mg,149
riboflavina,0.02,mg,149
tiamina,0.04,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.02,mg,149
Vitamina C (ácido ascórbico),29,mg,149
Minerales,,,
calcio,9,mg,149
"hierro, total",0.2,mg,149
potasio,150,mg,149
magnesio,10,mg,149
sodio,2,mg,149
fósforo,15,mg,149
ioduro,1,ug,38
"selenio, total",1,ug,29
zinc (cinc),traza,mg,61
