Id,Nombre,Name
804,"Caballa, al horno","Mackerel, baked"
2319,"Caballa, cruda","Mackarel, raw"
805,"Caballa, enlatada en aceite, escurrida","Mackerel, canned in oil, drained"
806,"Cabracho o rascacio, crudo","Red rockfish, raw"
2711,"Cabrito lechal, costillar, asado","Kid, ribs, roasted"
2685,"Cabrito lechal, costillar, crudo","Kid, ribs, raw"
2686,"Cabrito lechal, espalda, cruda","Kid, back, raw"
2687,"Cabrito lechal, pierna, cruda","Kid, leg, raw"
686,"Cabrito, parte s/e, crudo, con grasa separable","Kid, part n/e, raw, with separable fat"
2185,"Cacahuete, crudo, con cáscara","Peanut, raw, in shell"
925,"Cacahuete, frito, salado","Peanut, fried, salted"
2186,"Cacahuete, tostado, salado","Peanut, toasted, salted"
2648,"Cacao en polvo, azucarado","Soluble cocoa, with sugar, powder"
2431,"Cacao, en polvo, azucarado, bajo en calorías","Soluble cocoa, with sugar, powder, light"
681,"Café, con leche","Coffee infusion, with milk"
1019,"Café, en grano o molido, descafeinado","Coffee, seed or powder, descaffeinated"
1109,"Café, en polvo, sin reconstituir","Coffee, powder"
2432,"Café, en polvo, soluble","Soluble coffee, powder"
2433,"Café, infusión","Coffee, brewed"
2434,"Café, infusión, descafeinado","Coffee, brewed, decaffeinated"
2435,"Café, sucedáneo, soluble","Coffee, substitute, instant"
2376,Calabacín,Courgette
2377,"Calabacín, asado","Courgette, roasted"
2378,"Calabaza, cruda","Pumpkin, raw"
1183,"Calabaza, hervida","Pumpkin, boiled"
2320,"Calamar, asado","Squid, roasted"
1164,"Calamar, conserva","Squid, canned"
807,"Calamar, crudo","Squid, raw"
2323,Calamares en aceite vegetal,Squid in vegetable oil
792,Caldo vegetal,Vegetable stock
687,Callos de ternera,"Tripe, veal, raw"
2321,Camarón,Shrimp or common prawn
2477,"Canela, en polvo","Cinnamon, powder"
2478,Canelones,Canneloni
2324,Cangrejo,Crab
2325,Cangrejo de río crudo,Crayfish raw
810,"Cangrejo, en conserva","Crayfish, canned"
2379,Canonigos,Lamb's lettuce
2213,Caqui,Persimmon
2326,Caracol,Snail
2645,Caramelo,Candy
2380,Cardo,Cardoon
2327,"Cardo, tallo, en conserva","Cardoon, stalk, canned"
2701,"Carne de cerdo de capa blanca, cabezada, parte magra, cruda","Pork meat, head end of loin, lean, raw"
2700,"Carne de cerdo de capa blanca, cabezada, partes grasa y magra, crudo","Pork meat, head end of loin, separable lean and fat, raw"
2697,"Carne de cerdo de capa blanca, chuleta, parte magra, cruda","Pork meat, chop, lean, raw"
2696,"Carne de cerdo de capa blanca, chuleta, partes grasa y magra, cruda","Pork meat, chop, separable lean and fat, raw"
2699,"Carne de cerdo de capa blanca, jamón, parte magra, crudo","Pork meat, ham, lean, raw"
2698,"Carne de cerdo de capa blanca, jamón, partes grasa y magra, crudo","Pork meat, ham, separable lean and fat, raw"
2695,"Carne de cerdo de capa blanca, lomo, parte magra, crudo","Pork meat, loin, lean, raw"
2694,"Carne de cerdo de capa blanca, lomo, partes grasa y magra, crudo","Pork meat, loin, separable lean and fat, raw"
2706,"Carne de vacuno, cadera, partes magra y grasa, crudo","Veal, hip, separable lean and fat, raw"
2710,"Carne de vacuno, carrillera, partes magra y grasa, crudo","Veal, cheeks, separable lean and fat, raw"
2704,"Carne de vacuno, costillar, partes magra y grasa, crudo","Veal, ribs, separable lean and fat, raw"
2702,"Carne de vacuno, lomo, partes magra y grasa, crudo","Veal, loin, separable lean and fat, raw"
2708,"Carne de vacuno, rabo, partes magra y grasa, crudo","Veal, tail, separable lean and fat, raw"
2705,"Carne de vacuno, redondo, partes magra y grasa, crudo","Veal, round, separable lean and fat, raw"
2703,"Carne de vacuno, solomillo, partes magra y grasa, crudo","Veal, sirloin, separable lean and fat, raw"
2680,Carne picada,Mincemeat
811,"Carpa, al horno","Carp, baked"
812,"Carpa, cruda","Carp, raw"
2187,"Castaña, cruda",Chestnut
935,"Castaña, tostada","Chestnut, roasted"
2436,Cava,"Sparkling wine, ""cava"" type"
2338,Caviar,Caviar
1014,"Cebada, cruda","Barley, raw"
2381,Cebolla,Onion
2382,"Cebolla, asada","Onion, roasted"
2383,"Cebolla, hervida","Onion, boiled"
850,"Cebollino, crudo","Chive, raw"
2256,Cecina,Couring beef
1187,"Centeno, crudo","Rye, raw"
2328,"Centollo, crudo","Crab, raw"
2257,"Cerdo, chuleta, crudo","Pork, chop, raw"
2258,"Cerdo, costilla, crudo","Pork, rib, raw"
688,"Cerdo, lomo, asado","Pork, loin, roasted"
2259,"Cerdo, lomo, crudo","Pork, loin, raw"
2260,"Cerdo, panceta, cruda","Bacon, raw"
2261,"Cerdo, parte sin especificar","Pork, not specified part"
689,"Cerdo, pierna, cruda, con grasa separable","Pork, leg, raw, with separable fat"
961,"Cerdo, solomillo, asado","Pork, sirloin, roasted"
1021,"Cerdo, solomillo, crudo","Pork, sirloin, raw"
2666,Cereales base trigo y chocolate,"Breakfast cereals, wheat and chocolate"
1018,Cereales desayuno base de arroz chocolateado,"Breakfast cereal, rice with chocolate"
1026,Cereales desayuno base de arroz y miel,"Breakfast cereal, rice with honey"
1028,"Cereales desayuno base de arroz, trigo y fruta","Breakfast cereal, rice, wheat and fruit"
1031,Cereales desayuno base de maíz y miel,"Breakfast cereal, corn with honey"
1032,Cereales desayuno base de maíz y trigo,"Breakfast cereal, corn and wheat"
1188,"Cereales desayuno base de maíz, trigo y avena","Breakfast cereal, corn, wheat and oat"
1034,Cereales desayuno base de trigo azucarado,"Breakfast cereal, wheat with sugar"
1035,Cereales desayuno base de trigo y arroz,"Breakfast cereal, wheat and rice"
1036,Cereales desayuno base de trigo y frutas,"Breakfast cereal, wheat and fruit"
1038,Cereales desayuno base de trigo y miel,"Breakfast cereal, wheat and honey"
1039,"Cereales desayuno base de trigo, avena, maiz y miel","Breakfast cereal, wheat, oat, corn and honey"
1040,"Cereales desayuno base de trigo, avena, maíz, miel y nueces","Breakfast cereal, wheat, oat, corn, honey and nuts"
2155,Cereales desayuno base muesli,"Breakfast cereal, granola"
1042,"Cereales desayuno, maíz azucarado","Breakfast cereal, corn with sugar"
1119,"Cereales para el desayuno, ricos en fibra, tipo ""all-bran""","Breakfast cereal, whole wheat, ""all bran"" type"
2667,"Cereales, en polvo, solubles (eko)","Soluble cereals, powder"
2220,Cereza,Cherry
2437,Cerveza con alcohol,Beer
2438,Cerveza sin alcohol,Non-alcoholic beer
2439,"Cerveza, baja en alcohol","Beer, low alcohol"
