Id,Nombre,Name
2620,Empanada de carne,Meat pasty
2619,Empanadilla,"Pasty, frozen, n/e"
2388,Endibia,Endive
2618,"Eneldo, seco","Dill, dried"
2671,Ensaimada,Ensaimada
2389,Ensalada,Salad
2617,Ensaladilla rusa,Russian salad
2390,Escarola,Escarole
1179,"Espárrago, verde","Asparagus, green"
2393,Esparragos blancos en conserva,"Asparagus, white, canned"
2394,"Espinaca, en conserva","Spinach, canned"
2395,"Espinaca, hervida","Spinach, boiled"
861,"Espinaca, picada, congelada, cruda","Spinach, frozen, raw"
