Id,Nombre,Name
2616,Fabada,"Bean, stew ""fabada"" type"
2334,"Faneca, cruda","Pout, raw"
2615,Flamenquín,"Pork loin, cheese and ham roll, breaded, fried, ""flamenquin"" type"
2486,Flan de huevo,Egg custard
876,"Flan de huevo, bajo en calorías","Caramel custard cream, diet"
2335,"Fletan, crudo","Halibut, raw"
2269,Foie gras,Foie gras
914,"Frambuesa, cruda","Raspberry, raw"
2225,Fresa,Strawberry
2602,Fritos de maíz,Corn chips
786,Fructosa,Fructose
2189,Frutos secos,Nuts
1161,Fuet,"Cured sausage, ""fuet"" type"
