Id,Nombre,Name
2653,Jalea real,Royal jelly
2271,Jamón asado,"Ham, roasted"
965,"Jamón cocido, categoría s/e","Cooked ham, category n/e"
2272,"Jamón cocido, enlatado","Cooked ham, canned"
1781,Jamón ibérico de bellota,Iberian acorn-feed ham
1777,Jamón ibérico de cebo,Iberian ham of land cebo-feed
2273,Jamón serrano,Cured ham
2606,Jengibre,Ginger
2196,Judía blanca,White bean
2197,Judía pinta,Pinto bean
878,"Judía verde, congelada, cruda","Green bean, frozen, raw"
2198,"Judía verde, cruda","Green been, raw"
2397,"Judia verde, hervida","Green bean, boiled"
2199,"Judías blancas, cocidas","White bean, boiled"
2398,Judias verdes en conserva,"Green bean, canned"
818,"Jurel, crudo","Horse mackerel, raw"
